contig_id	mean_contig	cluster_id	nucl_freq.gc	length	color
NODE_1_length_609344_cov_273.410052	429.642533333333	25	44.5062230858103	609344	ascomycete
NODE_10_length_296299_cov_46.259479	73.9158275862069	39	51.5329221233022	296299	1other
NODE_100_length_160719_cov_44.897220	72.25475	39	51.3399996266544	160719	1other
NODE_1000_length_44037_cov_45.007162	72.69175	39	50.9503372164316	44037	1other
NODE_10000_length_1704_cov_2.880534	4.493	32	47.9460093896714	1704	1other
NODE_10001_length_1704_cov_2.701637	5.594	32	49.2370892018779	1704	1other
NODE_10002_length_1704_cov_2.449970	4.512	32	51.9366197183099	1704	1other
NODE_10003_length_1704_cov_2.442086	4.708	32	50.7629107981221	1704	1other
NODE_10004_length_1704_cov_2.103093	3.486	32	49.1784037558685	1704	1other
NODE_10005_length_1704_cov_2.061249	4.763	32	51.5845070422535	1704	1other
NODE_10006_length_1703_cov_28.317961	44.203	20	63.8285378743394	1703	1other
NODE_10007_length_1703_cov_4.787621	8.918	32	53.4938344098649	1703	1other
NODE_10008_length_1703_cov_3.678398	7.103	32	53.4938344098649	1703	1other
NODE_10009_length_1703_cov_2.866505	5.75	32	49.5008807985907	1703	1other
NODE_1001_length_44029_cov_278.906581	426.19975	25	41.6975175452543	44029	ascomycete
NODE_10010_length_1703_cov_2.835558	4.641	32	51.1450381679389	1703	1other
NODE_10011_length_1703_cov_2.614684	6.482	32	53.5525543159131	1703	1other
NODE_10012_length_1703_cov_2.208738	4.214	32	50.0880798590722	1703	1other
NODE_10013_length_1702_cov_93.627201	150.062	30	69.9764982373678	1702	1other
NODE_10014_length_1702_cov_3.666667	6.784	32	53.7015276145711	1702	1other
NODE_10015_length_1702_cov_3.558591	6.43	32	51.9388954171563	1702	1other
NODE_10016_length_1702_cov_3.463874	7.339	32	52.3501762632197	1702	1other
NODE_10017_length_1702_cov_3.056466	5.38	32	54.289071680376	1702	1other
NODE_10018_length_1702_cov_3.009107	5.638	32	52.1151586368978	1702	1other
NODE_10019_length_1702_cov_2.888282	5.704	32	53.1727379553466	1702	1other
NODE_1002_length_44009_cov_240.966260	381.6175	18	38.5875616351201	44009	ascomycete
NODE_10020_length_1702_cov_2.888282	5.54	32	53.4665099882491	1702	1other
NODE_10021_length_1702_cov_2.860352	5.516	32	53.1727379553466	1702	1other
NODE_10022_length_1702_cov_2.833030	5.006	32	52.9964747356052	1702	1other
NODE_10023_length_1702_cov_2.743777	5.186	32	51.6451233842538	1702	1other
NODE_10024_length_1702_cov_2.540984	4.762	32	51.8801410105758	1702	1other
NODE_10025_length_1702_cov_2.508804	4.618	32	51.7626321974148	1702	1other
NODE_10026_length_1701_cov_86.510328	137.375	30	70.3703703703704	1701	1other
NODE_10027_length_1701_cov_3.583232	6.333	32	51.9694297472075	1701	1other
NODE_10028_length_1701_cov_3.475091	7.457	32	53.7918871252205	1701	1other
NODE_10029_length_1701_cov_3.247266	6.699	32	51.9694297472075	1701	1other
NODE_1003_length_43976_cov_116.673209	168.32775	31	23.5628524649809	43976	ascomycete
NODE_10030_length_1701_cov_3.143378	7.072	32	51.7342739564962	1701	1other
NODE_10031_length_1701_cov_3.049818	6.707	32	53.5567313345091	1701	1other
NODE_10032_length_1701_cov_2.773390	5.426	32	51.2051734273956	1701	1other
NODE_10033_length_1700_cov_6.066869	10.485	32	51.5882352941176	1700	1other
